,player_name,batting_raa,batting_balls,bowling_raa,bowling_balls,total_raa,total_balls,replacement_level_raa,vorp,war
f29185a1,A Sharma,-4.064993231157575,10.0,-8.512764975524071,13.0,-12.577758206681647,23.0,0.0,-12.577758206681647,-0.14884920954652836
5b7ab5a9,Chakravarthy,0.0,0.0,-13.443356704178226,18.0,-13.443356704178226,18.0,0.0,-13.443356704178226,-0.1590929787476713
a316d663,Hardus Viljoen,-4.563726449722205,7.0,-9.77985584966531,146.0,-14.343582299387515,153.0,0.0,-14.343582299387515,-0.1697465360874262
244048f6,A Singh,0.0,0.0,-14.422761201119705,65.0,-14.422761201119705,65.0,0.0,-14.422761201119705,-0.17068356451029237
8fd1a8f5,D Steyn,0.0,0.0,-15.008701471075595,47.0,-15.008701471075595,47.0,0.0,-15.008701471075595,-0.17761776888846859
e94915e6,S Curran,8.121251566552274,55.0,-23.210004400103216,206.0,-15.088752833550942,261.0,0.0,-15.088752833550942,-0.1785651222905437
d8b2f218,B Sran,-2.2586860880052826,3.0,-13.166951560981598,25.0,-15.42563764898688,28.0,0.0,-15.42563764898688,-0.18255192484008143
ce820073,Sharma,2.9273477383122226,4.0,-18.647555164007187,259.0,-15.720207425694964,263.0,0.0,-15.720207425694964,-0.1860379577005321
b0946605,A Joseph,-3.6804918088740988,13.0,-12.59860635361224,54.0,-16.27909816248634,67.0,0.0,-16.27909816248634,-0.19265204926019336
1abb78f8,S Thakur,0.9632265126090684,7.0,-17.289097417364882,190.0,-16.325870904755813,197.0,0.0,-16.325870904755813,-0.1932055728373469
4933f499,Jason Behrendorff,0.0,0.0,-16.785930860566825,117.0,-16.785930860566825,117.0,0.0,-16.785930860566825,-0.1986500693558204
0ebfb1ad,E Lewis,-18.89195636917378,53.0,0.0,0.0,-18.89195636917378,53.0,0.0,-18.89195636917378,-0.22357344815590272
dcf81436,Kaul,0.0,0.0,-18.897860178459762,162.0,-18.897860178459762,162.0,0.0,-18.897860178459762,-0.2236433157214173
871e9faf,Thampi,-0.45605234454878224,1.0,-19.396190554682896,73.0,-19.85224289923168,74.0,0.0,-19.85224289923168,-0.23493778578972402
f62772e5,Pawan Negi,-9.00668297024309,9.0,-10.916169519106361,70.0,-19.922852489349452,79.0,0.0,-19.922852489349452,-0.2357734022408219
2e11c706,Ben Cutting,-7.885682938436151,17.0,-12.052467953606126,12.0,-19.938150892042277,29.0,0.0,-19.938150892042277,-0.23595444842653582
7c7d63a2,Tye,-1.8602582722102141,2.0,-19.22225476273521,137.0,-21.082513034945425,139.0,0.0,-21.082513034945425,-0.2494971956798275
f10e94c4,A Nath,-21.787265072336275,58.0,0.0,0.0,-21.787265072336275,58.0,0.0,-21.787265072336275,-0.25783745647735234
c3a96caf,Mandeep Singh,-15.16611142403323,122.0,-7.244482782242795,12.0,-22.410594206276023,134.0,0.0,-22.410594206276023,-0.2652141326186512
c995d726,Colin Ingram,-22.415237644265957,157.0,0.0,0.0,-22.415237644265957,157.0,0.0,-22.415237644265957,-0.2652690845475261
04a418e8,RP Das,11.064592240266212,129.0,-33.90197124421738,82.0,-22.837379003951167,211.0,0.0,-22.837379003951167,-0.2702648402834458
d027ba9f,K Williamson,-23.055837881862274,134.0,0.0,0.0,-23.055837881862274,134.0,0.0,-23.055837881862274,-0.27285015244807426
fe93fd9d,R Jadeja,-27.95426148337389,94.0,4.644068402494232,311.0,-23.31019308087966,405.0,0.0,-23.31019308087966,-0.27586027314650485
90de905a,Gowtham,-4.646769750419725,18.0,-18.92055184453809,122.0,-23.567321594957814,140.0,0.0,-23.567321594957814,-0.2789032141415126
f986ca1a,H Patel,-3.0364250429746114,3.0,-21.498961590749726,52.0,-24.535386633724336,55.0,0.0,-24.535386633724336,-0.2903596051328324
b17e2f24,K L Rahul,-25.973039324031955,447.0,0.0,0.0,-25.973039324031955,447.0,0.0,-25.973039324031955,-0.307373246438248
7d92277a,M Ur Rahman,-4.6710558076381234,4.0,-23.047271565007975,123.0,-27.718327372646097,127.0,0.0,-27.718327372646097,-0.32802754287155145
9d80c5e1,Nadeem,0.0,0.0,-27.91198053873664,54.0,-27.91198053873664,54.0,0.0,-27.91198053873664,-0.33031929631640994
73ad96ed,D Hooda,-20.654373613749325,68.0,-8.808966107051347,13.0,-29.463339720800672,81.0,0.0,-29.463339720800672,-0.34867857657752277
3c6ffae8,Y Pathan,-25.176214843651298,47.0,-4.702557790232844,6.0,-29.878772633884143,53.0,0.0,-29.878772633884143,-0.35359494241283007
740742ef,R Sharma,-30.854930279315067,319.0,0.0,0.0,-30.854930279315067,319.0,0.0,-30.854930279315067,-0.3651471038972197
3355b542,Faf du Plessis,-31.748616467598325,326.0,0.0,0.0,-31.748616467598325,326.0,0.0,-31.748616467598325,-0.3757232718058973
